source_id,url,duplicate_of,sha256
sukisugite_metsu_00056,https://books.r10s.jp/fan/images/oshiraku-images/sanohayato_yoshidajinto_tsumitobatsutoametokiss_jacket_8431e6616a.jpg?fitin=96:72&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00020__sanohayato_yoshidajinto_tsumitobatsutoametokiss_jacket_8431e6616a.jpg,8bef858d2a34d42a6f534c04f63bf6f23c056e538d4928e60757d4d9c7ee7723
sukisugite_metsu_00052,https://books.r10s.jp/fan/images/oshiraku-images/oshiraku_M_LK_M_LK_aonooto_main_a1745ebe7a.jpg?fitaround=720:540&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00006__oshiraku_M_LK_M_LK_aonooto_main_a1745ebe7a.jpg,e8a260f413da39d3732a74606fb26a711c0530400b3c494c218df94925d0fc92
sukisugite_metsu_00057,https://books.r10s.jp/fan/images/oshiraku-images/otonamoratorium_main_39611a19e2.jpg?fitin=96:72&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00021__otonamoratorium_main_39611a19e2.jpg,3ecd4f1f5dd392ca20774a962435b6047d62e38b0f65cdb4382d2cfe02d33306
sukisugite_metsu_00051,https://books.r10s.jp/fan/images/oshiraku-images/m_lk_sukisugitemetsu_jacket_69e6896746.jpg?fitaround=720:540&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00005__m_lk_sukisugitemetsu_jacket_69e6896746.jpg,187728206d06dc1a76e5ce93f1e3efbc800c783c4341fe85f68c4ca710b8d900
sukisugite_metsu_00061,https://books.r10s.jp/fan/images/oshiraku-images/695_BBK_0237_f7471491fd.JPG?fitin=96:72&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00025__695_BBK_0237_f7471491fd.jpg,902fba2221f076a7586fea558c5b505626a0efdc5146864db801c610a0892a50
sukisugite_metsu_00058,https://books.r10s.jp/fan/images/oshiraku-images/kiminosukihamuteki_main_a252fb2758.jpg?fitin=96:72&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00022__kiminosukihamuteki_main_a252fb2758.jpg,bd6d6e49258ee9c7eb487b1c4336bee489266215e08dfe7850346710f12151a4
sukisugite_metsu_00054,https://books.r10s.jp/fan/images/oshiraku-images/m_lk_20251027_a0f7d45db2.jpg?fitin=300:225&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00009__m_lk_20251027_a0f7d45db2.jpg,bf998c864b9518db35e38370619473a29a4c324df4c2ee8cf142698638a4204e
sukisugite_metsu_00059,https://books.r10s.jp/fan/images/oshiraku-images/onitaiji_main_5afc7fac0a.jpg?fitin=96:72&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00023__onitaiji_main_5afc7fac0a.jpg,dd51cd50b5677769ed936a8beffbcdce37cf5cdb07191b1f6c52210f51677a10
sukisugite_metsu_00060,https://books.r10s.jp/fan/images/oshiraku-images/sore_snowman_main_fdbac76c3d.jpg?fitin=96:72&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00024__sore_snowman_main_fdbac76c3d.jpg,09874276922b6ae783a4293132ecc545ccf4f921675b97f1863675b33c0554fb
sukisugite_metsu_00062,https://books.r10s.jp/fan/images/oshiraku-images/DSB_1226_aebe604920.jpg?fitin=96:72&#x27;),/home/runner/work/fujitatsukasa.github.io/fujitatsukasa.github.io/meme_research/output/media/page_sources_sukisugite_metsu/sukisugite_metsu_00026__DSB_1226_aebe604920.jpg,bd40d28dad128a6151610623333c2a53d50f934778c0b6f998e7f1bd6c03fad5
